commit,number_patches,patch_size_byte,patch_time_ms
3a6f00329a34e38ef7b26c1e5888b59f89b19419,1,117208,1.1547
3a91fcbcf36479af110e6ceb43a86569659930ad,1,230656,2.4614
3a9f41ad867059869c3d608c776234a909bd4045,1,108232,1.0228
3c62ad193d4e12905586d6a9fcaca8e980eb76b9,1,151632,0.5438
3c8456c641510039141b76746ccbb385cdd6ebdf,1,347760,1.5084
3cce566eb1f00b329a66aadf1a2bc751386e87da,1,336112,1.3324
3d206f0fcfda546d30ac2cc08e0b4187ec0650d9,1,197280,2.1366
3d3861dd88651fc4a8a6d1f63ccad9b82a3a4589,2,623216,5.5707
3d61cb0cb18a34bc537f5b4b98adb963a6911923,1,330008,1.1643
3e720bbcf5efee15b8d1057026e287929eb8b408,1,84184,0.4545
3f1f02034ce674cad8268f958cf8c39944b240c6,2,574528,0.9013
41bff94b43c73acc01ad086039ae64d08d2c227a,1,74936,0.2314
41e3617df9e50cd2e3e0f3bbdee080bc0e8a927a,1,305416,0.2014
42fbf064d1448b44a149d55ba859109780725d01,1,1170992,23.7467
442e73ea092905cef8f25bf0ac883e90f0666e89,1,165280,1.0963
447b2091e32d4b100a33ad4b1ae6b94e58d1fde9,2,855544,15.8305
449af2cd7a6646de0d4c0a3500fe72d8f18b7453,1,114808,0.1565
450c88f368317ae9d2d3d597cf121999660e2934,1,393248,0.4806
4537830ea1459a0890744380a6ebb6082de24ea1,4,1134192,6.3945
4630da375c541eaa62b6a71037c0d70a6ebcae1e,1,82224,1.1367
47629aaef35d7914870e8067e4cbf96f20cb2872,1,347336,0.9856
47717222b64b9437b12d76f39ac694f7454e3c7c,1,399240,1.6386
4779ed5ebf22c13a254817bff74b686d5c8a6fee,1,138984,0.8384
4780fe78ba611104475561bdcc8ac29dfb22676d,1,577584,8.4951
48568ab6d7f923fddfd0a6bac1a2ef9a97e4d708,1,303280,2.6268
48f04a82a0ac542341fb644a4cfbebadd5c59a33,2,561848,5.6323
49f2f691cbf62aa77ebeed1edd8b008cac622e5c,1,154480,1.1901
4a60fbd8b51403c5edbd98fb513f603bfec6c567,1,22448,0.0957
4a7a4e42db8ff757cdf3f4a824f66426036034ef,1,352472,0.2611
4acd6973bf0b85c80b85f43e94884f4e6d360ab7,1,396552,1.6467
4b262182d95f286222039ee52fc420eb1f9bb955,1,447240,2.8994
4d67bb6afa0da93c061ed1dc07af71f70c732b63,1,537800,3.1374
4dfc487f96600d14ccdd166f55a7ca6358f88ffc,1,119384,0.822
4e8759c65e03f5fb8ff2851a9bb45b6327d92f84,1,130752,0.5113
4f0f799c96f656eb67e13b1e212773a264450c5c,1,234552,1.069
4fcc564a974ff20804906a622b1d8d2f5583c106,1,244160,3.1005
518fd2dcc453fda573d8ef1b4d3c22975d8e8c3f,1,371120,3.7381
52fda0132d1c7b03897d0b056d8613d7bc4e4b2a,1,154096,0.5896
53edd42a4e6c58a9623eabfa15777e05254098e4,1,472904,5.2354
548e4fe088e003b334b0914fa7621606b821df79,1,252200,1.374
54b17f985d55b9e0bd8d0c98eff467f0eff22d07,1,204648,2.8822
54eb66495f1e11ca2018579cdc37e3a747b00c72,1,213288,3.047
5632bbdcbd0c6a8561ab2f980ca307eea26f4fd7,1,122344,0.7684
5656cc82a6cb3226dfa7cc6bcd6ca828641a8119,1,120384,2.4059
5674b0057ff2903d43eaff802017eddf37c360f8,2,810000,6.8131
574a49b96c02f6833bef3b15501aafda1e0fb031,1,77056,0.3559
5807397460ba6ef71bfe32cb8cce935c3348aa31,1,83528,0.2691
5844f5d0d1d9e54848330dc9c4b7b189973ebaba,1,331432,2.5007
58a8c0626ca467fd9ba21818ba13d5b9d98150e0,1,175616,0.7692
59080f602358445b558c539077c76ffbd78301c0,1,61488,0.2087
5a82df05aa07cbc99213c5c0128276f6e12c8d3a,1,65248,0.1872
5abb12e04fa57ec094d25974921b83fa501c0d3f,1,133160,0.9848
5b2119c6395b7eb7bb09f51961911377c610ed26,2,1308920,6.7972
5b6c764711798d077e9c32f7371c7fe53cc50674,1,151904,0.9627
5b722bd7bd2faae3a37c53dd67bd3479e6dbd5c6,1,82832,0.4196
5c374f94efd02fcbe615a92e428a85dd2b3c48ab,1,83456,0.2336
5c6f0b26c002d957b9c9d0d1037ef85cd27dedd8,1,101096,1.3335
5da1e640ada52c9bacaf20a4f976a2de209eccee,1,407544,3.5928
5da7fdb78532e3223cf1d91bb3e935718beccce8,3,940328,20.3442
5e02338e5e479b9f4a0dddf530e4823ffe7e682b,1,36064,0.3346
5f1fcc599ac1d36f7d6be1f13696fc9c884302a8,1,217544,1.4045
5f49f4fb40531e9157b801694c94eba9f5571da4,1,124632,0.1326
60870d3a10fd9496a3860ec77a953a51fa3410c6,1,272280,4.6046
60ef6d28962d10f16458e035eac5ec4d5ec05c98,1,380928,8.4799
61a1d4540de18b82f800bdfdc138057f7145451f,2,1288880,8.967
61baabd8d5cd9178f48b6fad79ae3cb477ef0a11,1,922208,3.8163
61cf011388a76a2d9cda052195730d372ea234fe,4,1011976,11.0192
62474219d0f86f62910d1d6b0832a0153f62cf4b,1,518536,6.5876
643110525e1388dca36097d0be6d48a5021e59e1,1,277496,0.9126
6461f09f433b78e3d69650a1377ac0574cb87378,1,653592,11.2654
64b28d1097053da03d25afbe0ded80f24af7ca36,1,187840,2.556
666ed7facf4524bf6d19b11b20faa2cf93fdf591,1,464960,9.4752
669a8dba375f9340442b0286dd4e571fdb9cb186,1,235680,3.4528
66ff5e6974e029722ddb5d1c7d1592f719419055,1,483376,13.3571
677f7585e0337c676e1a86a3828849d27e871e55,1,223384,3.2879
679344a2b064735b1807ccd70ef318a5829a277b,1,293376,2.7763
6956d15b776e72f7274b516224e930f2c957bac3,1,130240,0.5448
6a6d8806a471f718b1d178c14320e2126f2e3a9a,2,391352,5.971
6ac3c0b7abd35f37201ed2d6298ecef4ea1ae1dd,1,335376,3.6173
6b44e4ea92edd0f06971b5b7354769255fde66a8,1,420952,1.9711
6b71f714bdd20983546cbac2b857be7df69c82de,1,745912,20.8307
6c25c6b7da116e110e89a5db45eeae743879e7ea,2,328224,4.2069
6cf24fa437b04468055b4afbb24732208e549264,1,882768,0.4035
6e1c3ff132ab99602e4e71c1ccaa5795b0d996e7,1,434808,4.6782
6ef80f4ed21c14a879166a96dda91733a48d895c,1,209336,3.4472
6fa16f585c579b92577e3207f14fdab0a6830b69,2,247888,1.3232
6facfb7a103b26b9a602253a738b2130afb7c5d3,9,2083904,22.8122
708a4e8a9bdd9de1cb9ebd3f7f10baffd3419b9e,1,252888,1.4631
7091b495a09b8e8b93c1f1dd257fd91fff7023fb,1,91352,0.3361
718a826c51019fa13b6b59c774f082891e2ba32a,1,316840,2.4297
71be97294abf3657710a044157ebbc8a21489da3,1,265920,1.3709
733af1482217b2778f4ed594a176c0fe015150df,1,162472,0.6566
7569b210d6be5c76d5bfb3e1d35663859e735429,1,262080,1.7203
75addb4fe23176199de4d8946301a4086c3e75e5,1,405136,4.562
7675b00a64ab81e88653563443b16da2a5ac41f9,1,56384,0.1291
77570e3965e139abf410470b0c8998f52abf625d,2,270328,2.5893
783b210db4b79cdd1313a8196ea58fa5ad999fd1,1,328928,2.4484
78960ad57b8a5e6af743d789ed8fd767e37d42b8,1,535512,1.1438
789f10156009b404950ad717642a9496ed887083,1,29368,0.1194
78c1623553757c34a1ccfc981204f7a554d81507,1,290600,4.9728
79567b6e6697fbdf7a2ae4b2c3556e04f093c801,2,445816,4.4889
